Class,Section,Subject,Name,ID,Roll Number,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Home Tuition (Y/N),Focus (0-10),Homework (0-10),Q&A (0-10),Doubt Asking Rate,Exam Prep (0-10),Special Problems Completion (%)
8,A,Painting,Pranav Gupta,8_A_22,80122,74,76,40,44,N,10,7,2,0.9,6,54
8,A,Maths,Sanjay Grewal,8_A_23,80123,100,44,84,41,Y,3,3,10,0.7,7,64
8,A,Physics,Sanjay Grewal,8_A_23,80123,88,77,98,47,Y,9,6,10,1.0,8,69
8,A,Chemistry,Sanjay Grewal,8_A_23,80123,100,61,73,61,Y,3,10,10,0.1,4,53
8,A,Biology,Sanjay Grewal,8_A_23,80123,81,69,50,57,Y,6,6,2,1.0,4,85
8,A,English,Sanjay Grewal,8_A_23,80123,91,79,48,47,N,5,8,4,0.5,4,60
8,A,Social,Sanjay Grewal,8_A_23,80123,66,46,70,59,N,8,7,4,1.0,3,80
8,A,Painting,Sanjay Grewal,8_A_23,80123,79,100,93,73,Y,6,5,8,0.8,6,34
8,A,Maths,Sanjay Rao,8_A_24,80124,85,50,91,95,N,3,3,4,0.1,7,59
8,A,Physics,Sanjay Rao,8_A_24,80124,79,81,60,54,Y,9,4,7,0.8,7,75
8,A,Chemistry,Sanjay Rao,8_A_24,80124,70,75,46,84,N,3,5,2,0.6,7,62
8,A,Biology,Sanjay Rao,8_A_24,80124,78,65,90,44,Y,7,10,7,0.6,10,93
8,A,English,Sanjay Rao,8_A_24,80124,96,96,57,78,N,8,3,10,0.4,4,77
8,A,Social,Sanjay Rao,8_A_24,80124,99,43,80,46,N,7,4,2,0.2,4,46
8,A,Painting,Sanjay Rao,8_A_24,80124,95,88,40,82,Y,3,6,9,0.3,5,35
8,A,Maths,Rishabh Balakrishnan,8_A_25,80125,74,61,82,61,Y,4,6,7,0.9,5,45
8,A,Physics,Rishabh Balakrishnan,8_A_25,80125,82,85,61,76,N,3,4,9,0.5,8,75
8,A,Chemistry,Rishabh Balakrishnan,8_A_25,80125,77,58,59,56,N,4,7,10,1.0,5,37
8,A,Biology,Rishabh Balakrishnan,8_A_25,80125,98,46,82,65,N,4,9,2,0.5,4,33
8,A,English,Rishabh Balakrishnan,8_A_25,80125,89,93,82,98,N,8,3,9,0.5,7,73
8,A,Social,Rishabh Balakrishnan,8_A_25,80125,69,81,84,53,N,5,3,4,0.6,5,79
8,A,Painting,Rishabh Balakrishnan,8_A_25,80125,76,46,62,56,N,8,10,5,0.5,7,51
8,A,Maths,Varun Roy,8_A_26,80126,72,41,79,87,N,5,3,3,0.5,8,32
8,A,Physics,Varun Roy,8_A_26,80126,89,79,44,52,Y,7,4,10,0.2,6,49
8,A,Chemistry,Varun Roy,8_A_26,80126,84,95,71,64,N,4,8,2,1.0,6,90
8,A,Biology,Varun Roy,8_A_26,80126,78,89,86,77,Y,9,6,3,0.6,8,89
8,A,English,Varun Roy,8_A_26,80126,65,87,56,70,N,3,6,2,0.5,7,82
8,A,Social,Varun Roy,8_A_26,80126,67,98,86,94,Y,9,6,3,0.9,7,69
8,A,Painting,Varun Roy,8_A_26,80126,75,48,56,90,Y,5,7,2,0.7,4,65
8,A,Maths,Tushar Pandey,8_A_27,80127,66,51,52,74,N,5,9,3,0.7,10,98
8,A,Physics,Tushar Pandey,8_A_27,80127,66,77,44,72,N,10,10,8,0.8,3,69
8,A,Chemistry,Tushar Pandey,8_A_27,80127,67,49,49,50,N,5,5,2,0.4,4,39
8,A,Biology,Tushar Pandey,8_A_27,80127,75,59,79,48,N,4,6,9,0.7,3,45
8,A,English,Tushar Pandey,8_A_27,80127,66,59,50,87,N,5,4,9,1.0,4,76
8,A,Social,Tushar Pandey,8_A_27,80127,87,49,44,94,Y,3,10,7,0.4,3,77
8,A,Painting,Tushar Pandey,8_A_27,80127,72,83,88,74,Y,6,10,4,0.6,8,84
8,A,Maths,Barkha Pillai,8_A_28,80128,99,89,74,66,Y,9,10,10,0.3,4,79
8,A,Physics,Barkha Pillai,8_A_28,80128,86,47,95,96,N,7,6,10,0.2,5,83
8,A,Chemistry,Barkha Pillai,8_A_28,80128,88,53,77,64,N,9,3,10,0.1,9,82
8,A,Biology,Barkha Pillai,8_A_28,80128,93,49,55,74,N,7,8,6,0.9,10,56
8,A,English,Barkha Pillai,8_A_28,80128,71,81,98,85,Y,4,4,6,0.4,10,49
8,A,Social,Barkha Pillai,8_A_28,80128,95,82,85,71,Y,9,3,7,0.3,6,40
8,A,Painting,Barkha Pillai,8_A_28,80128,86,90,62,88,N,7,10,5,0.6,7,36
8,A,Maths,Amit Ghosh,8_A_29,80129,81,59,60,61,Y,3,7,8,0.4,8,58
8,A,Physics,Amit Ghosh,8_A_29,80129,83,93,97,43,N,6,3,5,0.8,10,36
8,A,Chemistry,Amit Ghosh,8_A_29,80129,87,86,53,91,N,8,10,3,0.4,3,48
8,A,Biology,Amit Ghosh,8_A_29,80129,98,84,58,69,N,5,6,8,0.5,4,46
8,A,English,Amit Ghosh,8_A_29,80129,65,89,73,80,Y,6,3,3,0.4,5,92
8,A,Social,Amit Ghosh,8_A_29,80129,65,100,53,91,N,4,7,6,0.4,7,31
8,A,Painting,Amit Ghosh,8_A_29,80129,66,82,97,95,Y,8,10,8,0.5,4,62
8,A,Maths,Arun Banerjee,8_A_30,80130,74,75,62,59,Y,3,6,10,0.4,7,39
8,A,Physics,Arun Banerjee,8_A_30,80130,99,84,71,63,N,9,8,5,0.5,6,82
8,A,Chemistry,Arun Banerjee,8_A_30,80130,90,57,91,84,Y,6,8,3,0.1,8,54
8,A,Biology,Arun Banerjee,8_A_30,80130,78,73,69,57,Y,10,10,8,0.9,10,52
8,A,English,Arun Banerjee,8_A_30,80130,78,68,99,71,N,6,3,4,0.4,4,82
8,A,Social,Arun Banerjee,8_A_30,80130,81,84,73,56,Y,5,6,5,0.7,6,38
8,A,Painting,Arun Banerjee,8_A_30,80130,65,62,96,76,Y,8,10,5,0.9,6,85
8,A,Maths,Arun Bhasin,8_A_31,80131,100,87,52,74,Y,4,6,2,0.9,8,83
8,A,Physics,Arun Bhasin,8_A_31,80131,95,58,52,66,Y,3,4,2,1.0,9,57
8,A,Chemistry,Arun Bhasin,8_A_31,80131,82,59,78,52,Y,4,10,8,0.3,8,83
8,A,Biology,Arun Bhasin,8_A_31,80131,88,59,66,86,Y,7,4,8,0.2,6,84
8,A,English,Arun Bhasin,8_A_31,80131,74,88,65,50,N,3,4,10,0.7,10,91
8,A,Social,Arun Bhasin,8_A_31,80131,97,94,91,53,N,6,5,10,0.8,8,48
8,A,Painting,Arun Bhasin,8_A_31,80131,70,96,57,89,N,3,4,3,1.0,7,42
8,A,Maths,Rajesh Suri,8_A_32,80132,77,78,73,67,Y,9,10,10,0.8,7,60
8,A,Physics,Rajesh Suri,8_A_32,80132,85,56,76,79,N,5,4,10,0.6,7,79
8,A,Chemistry,Rajesh Suri,8_A_32,80132,86,65,82,53,Y,5,3,6,0.5,5,58
8,A,Biology,Rajesh Suri,8_A_32,80132,70,73,84,50,Y,8,5,5,0.2,6,82
8,A,English,Rajesh Suri,8_A_32,80132,68,72,79,82,Y,5,6,2,0.8,9,80
8,A,Social,Rajesh Suri,8_A_32,80132,67,67,66,68,N,9,8,7,0.5,4,94
8,A,Painting,Rajesh Suri,8_A_32,80132,90,43,45,74,Y,8,5,2,0.8,4,42
8,A,Maths,Suman Saxena,8_A_33,80133,73,72,58,48,Y,3,10,6,0.7,7,90
8,A,Physics,Suman Saxena,8_A_33,80133,93,62,52,46,N,7,10,9,0.9,8,32
8,A,Chemistry,Suman Saxena,8_A_33,80133,83,47,93,95,Y,8,9,5,0.9,8,99
8,A,Biology,Suman Saxena,8_A_33,80133,81,40,98,71,N,8,8,7,0.1,10,92
8,A,English,Suman Saxena,8_A_33,80133,91,45,41,44,N,9,7,3,0.2,6,92
8,A,Social,Suman Saxena,8_A_33,80133,71,60,94,89,N,4,8,6,0.7,10,88
8,A,Painting,Suman Saxena,8_A_33,80133,71,55,95,87,Y,9,8,10,0.3,5,49
8,A,Maths,Rajesh Pawar,8_A_34,80134,90,45,47,97,Y,4,4,9,0.8,10,69
8,A,Physics,Rajesh Pawar,8_A_34,80134,96,76,70,67,N,3,9,8,0.7,6,67
8,A,Chemistry,Rajesh Pawar,8_A_34,80134,67,57,95,48,N,5,3,7,0.2,4,38
8,A,Biology,Rajesh Pawar,8_A_34,80134,77,75,55,41,N,10,3,9,0.8,5,87
8,A,English,Rajesh Pawar,8_A_34,80134,71,84,92,70,N,5,4,4,1.0,5,58
8,A,Social,Rajesh Pawar,8_A_34,80134,87,94,87,55,Y,3,4,2,0.6,6,72
8,A,Painting,Rajesh Pawar,8_A_34,80134,90,89,59,79,Y,5,8,7,0.2,10,54
8,A,Maths,Manav Gupta,8_A_35,80135,72,41,71,59,N,4,9,5,0.3,10,62
8,A,Physics,Manav Gupta,8_A_35,80135,96,68,44,51,N,5,7,6,0.7,10,77
8,A,Chemistry,Manav Gupta,8_A_35,80135,66,79,42,95,Y,7,5,6,0.3,10,88
8,A,Biology,Manav Gupta,8_A_35,80135,83,91,90,64,Y,3,7,2,0.4,7,63
8,A,English,Manav Gupta,8_A_35,80135,81,88,70,60,Y,10,5,6,0.8,4,78
8,A,Social,Manav Gupta,8_A_35,80135,78,44,41,83,Y,5,9,9,0.2,6,51
8,A,Painting,Manav Gupta,8_A_35,80135,98,57,46,65,Y,10,4,8,0.6,8,97
8,A,Maths,Saurabh Goel,8_A_36,80136,76,98,40,43,N,9,10,3,0.4,8,55
8,A,Physics,Saurabh Goel,8_A_36,80136,83,92,43,68,N,6,9,4,0.2,4,89
8,A,Chemistry,Saurabh Goel,8_A_36,80136,78,56,65,74,N,7,3,2,0.7,10,63
8,A,Biology,Saurabh Goel,8_A_36,80136,94,97,56,88,N,8,8,5,0.4,10,44
8,A,English,Saurabh Goel,8_A_36,80136,72,93,53,47,Y,3,8,9,0.1,7,80
8,A,Social,Saurabh Goel,8_A_36,80136,70,51,49,68,Y,3,7,4,1.0,4,65
8,A,Painting,Saurabh Goel,8_A_36,80136,96,84,81,68,N,3,3,10,0.5,7,96
8,A,Maths,Rajesh Bajpai,8_A_37,80137,87,43,55,97,N,10,3,4,0.5,3,56
8,A,Physics,Rajesh Bajpai,8_A_37,80137,80,90,96,94,N,9,7,4,0.6,3,30
8,A,Chemistry,Rajesh Bajpai,8_A_37,80137,79,52,77,63,Y,8,5,5,0.3,8,100
8,A,Biology,Rajesh Bajpai,8_A_37,80137,92,82,83,40,Y,8,8,4,0.5,5,72
8,A,English,Rajesh Bajpai,8_A_37,80137,79,61,97,91,Y,8,3,9,0.7,6,60
8,A,Social,Rajesh Bajpai,8_A_37,80137,75,87,86,76,Y,9,3,3,0.3,6,39
8,A,Painting,Rajesh Bajpai,8_A_37,80137,75,91,42,93,Y,6,5,3,0.5,7,67
8,A,Maths,Mayank Gaekwad,8_A_38,80138,100,91,50,90,N,9,9,6,0.4,10,93
8,A,Physics,Mayank Gaekwad,8_A_38,80138,85,53,81,49,Y,8,3,9,0.8,10,89
8,A,Chemistry,Mayank Gaekwad,8_A_38,80138,98,61,43,79,Y,5,9,6,0.4,4,99
8,A,Biology,Mayank Gaekwad,8_A_38,80138,75,53,55,51,Y,6,4,2,0.5,6,93
8,A,English,Mayank Gaekwad,8_A_38,80138,73,100,96,91,Y,10,3,4,0.4,6,47
8,A,Social,Mayank Gaekwad,8_A_38,80138,99,87,86,54,N,9,10,7,0.3,7,77
8,A,Painting,Mayank Gaekwad,8_A_38,80138,91,84,47,43,N,8,6,9,0.9,6,96
8,A,Maths,Aarav Balakrishnan,8_A_39,80139,77,82,92,46,Y,5,10,8,0.2,10,54
8,A,Physics,Aarav Balakrishnan,8_A_39,80139,65,88,61,56,Y,6,6,10,0.5,4,79
8,A,Chemistry,Aarav Balakrishnan,8_A_39,80139,69,46,48,40,Y,10,3,10,0.9,5,86
8,A,Biology,Aarav Balakrishnan,8_A_39,80139,84,98,91,72,Y,5,8,3,0.9,10,50
8,A,English,Aarav Balakrishnan,8_A_39,80139,71,81,43,79,N,9,10,5,0.4,4,62
8,A,Social,Aarav Balakrishnan,8_A_39,80139,86,54,98,91,Y,3,9,2,0.9,3,92
